pos_code;foto_lokasi_bagian_dalam;foto_lokasi_bagian_depan;lokasi;kota_kabupaten;jenis_bangunan;titik_koordinat;alamat
POS4249;;;;JAKARTA BARAT;;;PS. BUNGA RAWA BELONG, KEBON JERUK
POS8911;;;;JAKARTA BARAT;;;JL. UTAN KAYU RAYA NO. 102
POS3318;;;;JAKARTA BARAT;;;JL. MAMPANG PRAPATAN RAYA NO. 73 A
POS6220;;;;JAKARTA BARAT;;;JL. TANJUNG BARAT NO. 168 A, TANJUNG BARAT
POS4969;;;;JAKARTA PUSAT;;;KOMP. RUKO ATAP MERAH BLOK D 10-11, JL. PECENONGAN NO. 72
POS2544;;;;JAKARTA BARAT;;;JL. KEBON KACANG IV NO. 6, TANAH ABANG
POS2445;https://drive.google.com/open?id=1jAhHWk2LM6j-nlXtfDrG67Dmvj2XH1F4;https://drive.google.com/open?id=166mlpNBank8pTgy_WQZu9_CbGX0qD_9g;JALAN UTAMA;JAKARTA UTARA;;-6.11661,106.7795;JL. MUARA KARANG RAYA NO. 131, MUARA KARANG
POS7893;;;;JAKARTA UTARA;;;JL. GEDONG PANJANG NO. 68 A
POS9699;;;;JAKARTA BARAT;;;GUDANG CMU
POS7787;;;;JAKARTA BARAT;;;DUTA GARDEN SQUARE BLOK E NO. 26, BENDA
POS7111;;;;JAKARTA BARAT;;;RUKO TAMAN GALAXI INDAH BLOK A NO. 33
POS9085;;;;JAKARTA BARAT;;;JL.PAHLAWAN REVOLUSI SIMPANG LAMPU MERAH BAMBU BATAS NO 1H -I KELURAHAN PONDOK BAMBU KECAMATAN DUREN SAWIT 13430
POS8561;;;JALAN UTAMA;MEDAN;RUKO;3.57217,98.68333;JL JUANDA BOULEVARD N0 31
POS1475;;;;MEDAN;;3.58794,98.6867;JL MEDAN MALL
POS1476;;;;MEDAN;;3.594457, 98.7064365;JL AKSARA 124
POS1477;;;;MEDAN;;3.5783533,98.6842589;JL KATAMSO NO41F
POS1478;;;;MEDAN;;3.621074,98.68076;JL GUNUNG KRAKATAU NO 197H
POS7965;https://drive.google.com/open?id=1xDYbnG9doiusj7tfVmxt8EFMj2O1gWoZ;https://drive.google.com/open?id=1xmZ5q5PBjipzSCmwx949tpUvCZjcdkuT;JALAN UTAMA;MEDAN;RUKO;3.586351,98.671475;JL BRIG ZEIN HAMID GANG SADO NO 8/9 TITI KUNING
POS6983;;;;JAKARTA SELATAN;;;GRAHA PERMATA BLOK C 11-15, KOMPLEK TNI AU TRILOKA PANCORAN
POS8562;;;;JAKARTA BARAT;;;RUKO CITRA 2 EXT BLOK BG 3B NO. 17
POS1934;;;;MEDAN;;;JL. INDUSTRI RINGROAD NO. 3D
